"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"01-Jan-2020","       11.6675","       11.7300","       11.0850","       11.5975","       11.6675","       -0.0700","  -0.60"
"02-Jan-2020","       11.5975","       11.7000","       10.7300","       11.4900","       11.5975","       -0.1100","  -0.93"
"03-Jan-2020","       11.4900","       12.9400","       10.6850","       12.6950","       11.4900","        1.2100","  10.49"
"06-Jan-2020","       12.6950","       15.0950","       12.6950","       14.7775","       12.6950","        2.0800","  16.40"
"07-Jan-2020","       14.7775","       14.9125","       14.4625","       14.6100","       14.7775","       -0.1700","  -1.13"
"08-Jan-2020","       14.6100","       16.3875","       13.7925","       15.6400","       14.6100","        1.0300","   7.05"
"09-Jan-2020","       15.6400","       15.6400","       12.9950","       13.9975","       15.6400","       -1.6400"," -10.50"
"10-Jan-2020","       13.9975","       14.2450","       13.1775","       14.0775","       13.9975","        0.0800","   0.57"
"13-Jan-2020","       14.0775","       14.4950","       13.5775","       14.2750","       14.0775","        0.2000","   1.40"
"14-Jan-2020","       14.2750","       14.2750","       13.0625","       13.9125","       14.2750","       -0.3600","  -2.54"
"15-Jan-2020","       13.9125","       14.4575","       13.5850","       14.1200","       13.9125","        0.2100","   1.49"
"16-Jan-2020","       14.1200","       14.3650","       12.5975","       14.1825","       14.1200","        0.0600","   0.44"
"17-Jan-2020","       14.1825","       14.5300","       12.5025","       14.1275","       14.1825","       -0.0600","  -0.39"
"20-Jan-2020","       14.1275","       15.4950","       12.4650","       15.4100","       14.1275","        1.2800","   9.08"
"21-Jan-2020","       15.4100","       16.0400","       15.0725","       15.8625","       15.4100","        0.4500","   2.94"
"22-Jan-2020","       15.8625","       16.6100","       15.3575","       16.3600","       15.8625","        0.5000","   3.14"
"23-Jan-2020","       16.3600","       16.7075","       15.7775","       15.8550","       16.3600","       -0.5100","  -3.09"
"24-Jan-2020","       15.8550","       16.2150","       14.5925","       15.5600","       15.8550","       -0.3000","  -1.86"
"27-Jan-2020","       15.5600","       17.3400","       14.6825","       17.1750","       15.5600","        1.6200","  10.38"
"28-Jan-2020","       17.1750","       17.6150","       16.9575","       17.2975","       17.1750","        0.1200","   0.71"
"29-Jan-2020","       17.2975","       17.2975","       15.6525","       16.4975","       17.2975","       -0.8000","  -4.62"
"30-Jan-2020","       16.4975","       17.1400","       15.3800","       16.7975","       16.4975","        0.3000","   1.82"
"31-Jan-2020","       16.7975","       17.5900","       14.9025","       17.3675","       16.7975","        0.5700","   3.39"
"01-Feb-2020","       17.3675","       17.9300","       16.0325","       16.8350","       17.3675","       -0.5300","  -3.07"
"03-Feb-2020","       16.8350","       17.0300","       15.4825","       15.7825","       16.8350","       -1.0500","  -6.25"
"04-Feb-2020","       15.7825","       15.7825","       14.3100","       14.3800","       15.7825","       -1.4000","  -8.89"
