"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     8262.50","     8276.80","     8200.25","     8210.10","       44710008","         1802.03"
"02-Jan-2020","     8226.60","     8275.05","     8206.85","     8267.45","       95024515","         2981.74"
"03-Jan-2020","     8261.50","     8261.65","     8136.80","     8168.15","       76927732","         2478.76"
"06-Jan-2020","     8132.65","     8134.50","     7967.20","     7978.75","       62846094","         2285.56"
"07-Jan-2020","     8029.90","     8097.70","     7961.20","     8002.50","       69137157","         2270.25"
"08-Jan-2020","     7921.65","     8002.90","     7900.80","     7942.75","       48307772","         2300.37"
"09-Jan-2020","     8035.45","     8165.90","     8022.35","     8155.25","       83425221","         3084.85"
"10-Jan-2020","     8177.55","     8246.70","     8147.65","     8225.50","       97824275","         3224.08"
"13-Jan-2020","     8244.25","     8262.30","     8192.05","     8235.85","       66635460","         2193.76"
"14-Jan-2020","     8234.20","     8297.70","     8216.55","     8289.30","       67598217","         2295.96"
"15-Jan-2020","     8287.60","     8395.70","     8246.40","     8385.35","       80644300","         2747.66"
"16-Jan-2020","     8385.30","     8414.35","     8373.65","     8395.90","       67729374","         2680.18"
"17-Jan-2020","     8401.95","     8463.25","     8369.70","     8427.60","       50146035","         2362.35"
"20-Jan-2020","     8436.90","     8459.45","     8343.40","     8352.70","       65281378","         1954.77"
"21-Jan-2020","     8321.25","     8325.80","     8229.30","     8245.90","       61056949","         1874.96"
"22-Jan-2020","     8278.55","     8294.05","     8147.15","     8169.15","       64701562","         2310.95"
"23-Jan-2020","     8176.75","     8251.85","     8145.80","     8241.75","       60518993","         2106.74"
"24-Jan-2020","     8246.45","     8324.40","     8234.95","     8274.85","       54172677","         1971.44"
"27-Jan-2020","     8243.35","     8347.90","     8189.00","     8258.15","       57326339","         2155.35"
"28-Jan-2020","     8290.10","     8340.45","     8125.90","     8156.05","       75179867","         3085.74"
"29-Jan-2020","     8200.70","     8264.60","     8179.25","     8220.40","       81946729","         3139.91"
"30-Jan-2020","     8239.65","     8267.55","     8148.20","     8181.45","      103601158","         3637.57"
"31-Jan-2020","     8211.60","     8238.75","     8072.95","     8086.55","      125866539","         3541.64"
"01-Feb-2020","     8069.75","     8200.25","     7833.10","     7880.30","       82194325","         3033.90"
"03-Feb-2020","     7826.00","     8016.80","     7816.35","     7988.35","      124213082","         3727.79"
"04-Feb-2020","     8026.60","     8142.10","     7997.85","     8100.80","      101430536","         3576.02"
"05-Feb-2020","     8138.30","     8212.20","     8064.70","     8131.70","      165901552","         4625.28"
"06-Feb-2020","     8158.80","     8189.20","     8092.55","     8142.15","      113488793","         3996.29"
"07-Feb-2020","     8172.35","     8173.60","     8042.20","     8064.60","       96990047","         3339.38"
"10-Feb-2020","     8065.40","     8067.35","     7820.30","     7860.55","      120638033","         3697.57"
"11-Feb-2020","     7923.00","     7969.30","     7881.35","     7892.40","       84781272","         2719.71"
"12-Feb-2020","     7932.30","     7961.10","     7905.75","     7933.80","       71096518","         2295.05"
"13-Feb-2020","     7930.25","     7933.40","     7873.75","     7914.90","       87754381","         2215.19"
"14-Feb-2020","     7933.60","     7977.15","     7807.30","     7822.20","       95722834","         2873.26"
"17-Feb-2020","     7833.15","     7833.60","     7742.45","     7770.50","       67993839","         1986.48"
"18-Feb-2020","     7758.00","     7758.00","     7620.50","     7692.30","       94588508","         2802.13"
"19-Feb-2020","     7754.35","     7769.40","     7606.25","     7687.35","      115975048","         3041.95"
"20-Feb-2020","     7687.50","     7756.35","     7667.85","     7697.90","      104257555","         2623.54"
"24-Feb-2020","     7644.05","     7644.05","     7414.00","     7429.10","       89107742","         2719.80"
