"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       24.24","        3.64","        1.34"
"02-Jan-2020","       24.41","        3.66","        1.33"
"03-Jan-2020","       24.12","        3.62","        1.35"
"06-Jan-2020","       23.56","        3.53","        1.38"
"07-Jan-2020","       23.63","        3.54","        1.38"
"08-Jan-2020","       23.45","        3.52","        1.39"
"09-Jan-2020","       24.08","        3.61","        1.35"
"10-Jan-2020","       24.29","        3.64","        1.34"
"13-Jan-2020","       24.32","        3.65","        1.34"
"14-Jan-2020","       24.47","        3.67","        1.33"
"15-Jan-2020","       24.76","        3.71","        1.31"
"16-Jan-2020","       24.79","        3.72","        1.31"
"17-Jan-2020","       24.88","        3.73","        1.31"
"20-Jan-2020","       24.66","        3.70","        1.32"
"21-Jan-2020","       24.35","        3.65","        1.34"
"22-Jan-2020","       24.12","        3.62","        1.35"
"23-Jan-2020","       24.33","        3.64","        1.34"
"24-Jan-2020","       24.43","        3.66","        1.34"
"27-Jan-2020","       24.35","        3.68","        1.34"
"28-Jan-2020","       24.05","        3.57","        1.36"
"29-Jan-2020","       24.19","        3.59","        1.35"
"30-Jan-2020","       24.07","        3.57","        1.35"
"31-Jan-2020","       23.79","        3.53","        1.37"
"01-Feb-2020","       23.19","        3.44","        1.40"
"03-Feb-2020","       24.67","        3.49","        1.38"
"04-Feb-2020","       24.99","        3.54","        1.37"
"05-Feb-2020","       25.09","        3.55","        1.36"
"06-Feb-2020","       25.12","        3.56","        1.36"
"07-Feb-2020","       24.77","        3.52","        1.37"
"10-Feb-2020","       24.24","        3.43","        1.41"
"11-Feb-2020","       25.49","        3.45","        1.40"
"12-Feb-2020","       25.66","        3.47","        1.39"
"13-Feb-2020","       25.60","        3.46","        1.40"
"14-Feb-2020","       25.61","        3.42","        1.41"
"17-Feb-2020","       25.44","        3.39","        1.42"
"18-Feb-2020","       25.18","        3.36","        1.44"
"19-Feb-2020","       25.17","        3.36","        1.44"
"20-Feb-2020","       25.20","        3.36","        1.44"
"24-Feb-2020","       24.32","        3.25","        1.49"
"25-Feb-2020","       24.12","        3.22","        1.50"
"26-Feb-2020","       23.60","        3.15","        1.53"
"27-Feb-2020","       23.50","        3.14","        1.54"
"28-Feb-2020","       22.60","        3.02","        1.60"
"02-Mar-2020","       22.45","        3.00","        1.61"
"03-Mar-2020","       22.87","        3.05","        1.58"
"04-Mar-2020","       22.72","        3.03","        1.59"
