"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       40.73","        3.35","        0.31"
"02-Jan-2020","       41.16","        3.38","        0.30"
"03-Jan-2020","       40.68","        3.34","        0.31"
"06-Jan-2020","       39.62","        3.29","        0.32"
"07-Jan-2020","       39.83","        3.31","        0.32"
"08-Jan-2020","       39.79","        3.30","        0.32"
"09-Jan-2020","       40.71","        3.38","        0.31"
"10-Jan-2020","       40.71","        3.38","        0.31"
"13-Jan-2020","       40.81","        3.39","        0.31"
"14-Jan-2020","       40.68","        3.38","        0.31"
"15-Jan-2020","       40.37","        3.35","        0.31"
"16-Jan-2020","       40.02","        3.09","        0.36"
"17-Jan-2020","       39.69","        3.07","        0.37"
"20-Jan-2020","       37.88","        3.02","        0.37"
"21-Jan-2020","       37.40","        2.96","        0.35"
"22-Jan-2020","       37.10","        2.90","        0.36"
"23-Jan-2020","       37.59","        2.92","        0.36"
"24-Jan-2020","       37.88","        2.95","        0.36"
"27-Jan-2020","       35.38","        2.91","        0.36"
"28-Jan-2020","       35.85","        2.88","        0.36"
"29-Jan-2020","       35.99","        2.88","        0.37"
"30-Jan-2020","       35.72","        2.86","        0.37"
"31-Jan-2020","       35.94","        2.88","        0.37"
"01-Feb-2020","       34.75","        2.78","        0.38"
"03-Feb-2020","       35.04","        2.80","        0.38"
"04-Feb-2020","       35.02","        2.86","        0.37"
"05-Feb-2020","       35.50","        2.89","        0.37"
"06-Feb-2020","       35.85","        2.92","        0.36"
"07-Feb-2020","       35.73","        2.91","        0.36"
"10-Feb-2020","       35.57","        2.90","        0.37"
"11-Feb-2020","       35.85","        2.92","        0.36"
"12-Feb-2020","       36.07","        2.94","        0.36"
"13-Feb-2020","       35.77","        2.91","        0.36"
"14-Feb-2020","       35.31","        2.88","        0.37"
"17-Feb-2020","       35.14","        2.86","        0.37"
"18-Feb-2020","       35.00","        2.85","        0.37"
"19-Feb-2020","       35.32","        2.88","        0.37"
"20-Feb-2020","       35.44","        2.89","        0.37"
"24-Feb-2020","       34.88","        2.84","        0.37"
"25-Feb-2020","       34.85","        2.84","        0.37"
"26-Feb-2020","       34.71","        2.83","        0.38"
"27-Feb-2020","       34.57","        2.82","        0.38"
"28-Feb-2020","       33.38","        2.72","        0.39"
"02-Mar-2020","       33.06","        2.69","        0.39"
"03-Mar-2020","       33.41","        2.72","        0.39"
"04-Mar-2020","       32.82","        2.67","        0.40"
"05-Mar-2020","       33.00","        2.69","        0.39"
"06-Mar-2020","       31.84","        2.59","        0.41"
"09-Mar-2020","       30.31","        2.47","        0.43"
"11-Mar-2020","       30.33","        2.47","        0.43"
"12-Mar-2020","       27.45","        2.24","        0.47"
"13-Mar-2020","       28.82","        2.35","        0.45"
"16-Mar-2020","       26.46","        2.16","        0.49"
