"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       38.08","       10.65","        1.33"
"02-Jan-2020","       38.12","       10.66","        1.33"
"03-Jan-2020","       37.93","       10.61","        1.33"
"06-Jan-2020","       37.54","       10.50","        1.35"
"07-Jan-2020","       37.61","       10.52","        1.34"
"08-Jan-2020","       37.65","       10.53","        1.34"
"09-Jan-2020","       37.94","       10.61","        1.33"
"10-Jan-2020","       38.26","       10.70","        1.32"
"13-Jan-2020","       38.69","       10.82","        1.31"
"14-Jan-2020","       39.23","       10.97","        1.29"
"15-Jan-2020","       39.35","       11.00","        1.29"
"16-Jan-2020","       39.47","       11.04","        1.28"
"17-Jan-2020","       39.52","       11.05","        1.28"
"20-Jan-2020","       39.59","       11.07","        1.28"
"21-Jan-2020","       39.23","       10.97","        1.29"
"22-Jan-2020","       39.24","       10.98","        1.29"
"23-Jan-2020","       39.33","       11.00","        1.29"
"24-Jan-2020","       39.65","       11.09","        1.28"
"27-Jan-2020","       39.24","       10.97","        1.29"
"28-Jan-2020","       39.01","       10.93","        1.29"
"29-Jan-2020","       39.51","       11.07","        1.28"
"30-Jan-2020","       38.85","       10.90","        1.30"
"31-Jan-2020","       38.64","       10.84","        1.30"
"01-Feb-2020","       37.92","       10.64","        1.33"
"03-Feb-2020","       38.19","       10.72","        1.32"
"04-Feb-2020","       37.07","       10.83","        1.31"
"05-Feb-2020","       37.29","       10.90","        1.30"
"06-Feb-2020","       37.05","       10.83","        1.31"
"07-Feb-2020","       37.15","       10.85","        1.30"
"10-Feb-2020","       36.72","       10.75","        1.32"
"11-Feb-2020","       36.59","       10.71","        1.32"
"12-Feb-2020","       37.27","       10.92","        1.30"
"13-Feb-2020","       37.33","       10.93","        1.29"
"14-Feb-2020","       36.78","       10.80","        1.31"
"17-Feb-2020","       36.58","       10.74","        1.32"
"18-Feb-2020","       36.43","       10.70","        1.32"
"19-Feb-2020","       37.00","       10.86","        1.30"
"20-Feb-2020","       36.77","       10.79","        1.31"
