"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    15705.90","    15746.25","    15676.70","    15722.15","        9390770","          796.37"
"02-Jan-2020","    15754.90","    15762.10","    15679.65","    15709.65","       15228631","         1359.62"
"03-Jan-2020","    15727.60","    16004.45","    15722.65","    15936.60","       26007478","         2470.87"
"06-Jan-2020","    15934.60","    16067.65","    15831.85","    15879.80","       24001823","         2010.92"
"07-Jan-2020","    15893.35","    15988.70","    15799.80","    15895.20","       24228858","         1896.87"
"08-Jan-2020","    15840.90","    15974.85","    15816.80","    15953.45","       27441490","         2705.34"
"09-Jan-2020","    15970.65","    16017.25","    15857.25","    15925.15","       27876904","         2508.81"
"10-Jan-2020","    16040.65","    16059.35","    15930.65","    15959.90","       20204002","         1659.74"
"13-Jan-2020","    16135.50","    16275.20","    16075.75","    16225.90","       61139484","         4660.80"
"14-Jan-2020","    16238.15","    16385.95","    16226.90","    16362.35","       34531792","         2690.27"
"15-Jan-2020","    16354.20","    16366.75","    16217.10","    16346.85","       35215518","         2659.80"
"16-Jan-2020","    16372.15","    16423.85","    16277.25","    16381.65","       26236130","         1988.28"
"17-Jan-2020","    16396.50","    16447.35","    16310.75","    16356.60","       20023292","         1734.80"
"20-Jan-2020","    16389.60","    16465.05","    16162.50","    16207.15","       27054398","         2598.01"
"21-Jan-2020","    16190.80","    16221.50","    16133.60","    16175.20","       17456561","         1447.68"
"22-Jan-2020","    16245.95","    16404.60","    16211.80","    16334.55","       26848118","         2169.56"
"23-Jan-2020","    16380.60","    16501.20","    16367.75","    16474.40","       30024513","         2522.76"
"24-Jan-2020","    16410.50","    16498.75","    16356.95","    16472.75","       21184459","         1776.20"
"27-Jan-2020","    16456.20","    16483.90","    16385.65","    16393.55","       13611766","         1165.01"
"28-Jan-2020","    16442.85","    16448.05","    16320.60","    16429.75","       19676966","         1670.98"
"29-Jan-2020","    16513.20","    16577.95","    16452.00","    16479.30","       22195772","         2065.23"
"30-Jan-2020","    16509.00","    16514.10","    16287.75","    16327.90","       18889354","         1715.04"
"31-Jan-2020","    16333.15","    16365.80","    16098.45","    16144.15","       26267958","         2192.68"
"01-Feb-2020","    16138.60","    16319.75","    15968.50","    16282.65","       20546938","         1950.30"
"03-Feb-2020","    16282.00","    16418.90","    16034.30","    16059.90","       28969680","         2532.58"
"04-Feb-2020","    16174.80","    16377.45","    16155.80","    16350.85","       25185175","         2188.87"
"05-Feb-2020","    16354.45","    16463.60","    16283.25","    16448.55","       21910979","         1767.33"
"06-Feb-2020","    16480.75","    16621.35","    16330.65","    16371.15","       23961376","         1985.09"
"07-Feb-2020","    16453.00","    16493.25","    16382.40","    16470.15","       15721118","         1327.98"
"10-Feb-2020","    16481.50","    16522.40","    16306.25","    16431.90","       18044996","         1489.67"
"11-Feb-2020","    16482.40","    16512.10","    16409.15","    16452.30","       16987352","         1267.17"
"12-Feb-2020","    16462.25","    16599.05","    16419.45","    16538.10","       18606682","         1393.27"
"13-Feb-2020","    16578.75","    16696.85","    16513.75","    16673.05","       18884410","         1492.80"
"14-Feb-2020","    16682.30","    16828.20","    16624.25","    16642.75","       19636956","         1634.46"
"17-Feb-2020","    16707.65","    16737.65","    16596.20","    16647.70","       13895849","         1241.06"
"18-Feb-2020","    16586.90","    16773.20","    16526.40","    16748.75","       20798165","         1817.24"
"19-Feb-2020","    16796.40","    16882.45","    16754.25","    16772.45","       16905540","         1467.37"
"20-Feb-2020","    16826.30","    16843.65","    16623.90","    16649.40","       20306178","         1757.97"
"24-Feb-2020","    16642.75","    16749.25","    16416.85","    16461.80","       23422521","         2023.35"
"25-Feb-2020","    16490.40","    16642.40","    16443.25","    16562.50","       25320628","         2212.93"
"26-Feb-2020","    16497.15","    16539.25","    16297.25","    16332.25","       26844091","         2193.97"
"27-Feb-2020","    16244.95","    16258.65","    16053.70","    16123.80","       24504768","         1889.10"
"28-Feb-2020","    15726.15","    15788.45","    15156.80","    15212.95","       42938991","         3355.36"
"02-Mar-2020","    15355.05","    15722.00","    15298.00","    15427.65","       36517724","         2739.82"
"03-Mar-2020","    15615.05","    15793.10","    15495.70","    15723.20","       29631724","         2394.91"
"04-Mar-2020","    15824.90","    15919.95","    15612.75","    15864.30","       32079819","         2600.65"
"05-Mar-2020","    15912.05","    16150.60","    15841.10","    15871.35","       26935544","         2328.27"
"06-Mar-2020","    15607.35","    15699.95","    15443.00","    15663.45","       26044423","         2019.43"
"09-Mar-2020","    15333.55","    15371.00","    14705.40","    14854.90","       36824488","         2743.30"
"11-Mar-2020","    14524.15","    14823.80","    14356.10","    14681.40","       43270683","         3498.74"
"12-Mar-2020","    14177.40","    14231.95","    13317.65","    13384.80","       42866258","         3442.76"
"13-Mar-2020","    12561.95","    13835.35","    11624.85","    13539.10","       47446373","         3454.27"
"16-Mar-2020","    12963.70","    13078.65","    12355.15","    12451.35","       49460331","         3524.31"
"17-Mar-2020","    12517.50","    12677.20","    11999.55","    12099.25","       44085983","         2772.08"
"18-Mar-2020","    12287.80","    12451.10","    11643.90","    11753.00","       45464744","         2952.46"
"19-Mar-2020","    11183.95","    11698.30","    10991.25","    11340.00","       52457773","         2937.71"
"20-Mar-2020","    11382.40","    12710.55","    11363.50","    12363.40","       66433629","         4246.42"
"23-Mar-2020","    11328.25","    11602.45","    11108.65","    11179.60","       44666228","         2846.42"
"24-Mar-2020","    11159.75","    12053.80","    11159.30","    11865.05","       51315528","         3237.37"
"25-Mar-2020","    11856.90","    12514.25","    11657.25","    12233.35","       47599771","         2691.80"
"26-Mar-2020","    12496.95","    12751.55","    12306.35","    12535.60","       47125315","         2979.31"
"27-Mar-2020","    12778.15","    12949.60","    12403.85","    12569.10","       43319863","         2669.02"
"30-Mar-2020","    12152.95","    12774.60","    12152.95","    12318.80","       40751093","         3216.68"
"31-Mar-2020","    12681.75","    12930.80","    12466.60","    12763.65","       38751042","         2462.73"
"01-Apr-2020","    12680.50","    12690.60","    11989.60","    12045.85","       40937782","         2579.66"
"03-Apr-2020","    12129.85","    12146.95","    11621.20","    11680.05","       40624880","         2539.29"
"07-Apr-2020","    12147.00","    12647.40","    12132.30","    12588.95","       39434204","         2644.03"
"08-Apr-2020","    12468.60","    12897.50","    12437.75","    12491.55","       40359706","         2772.93"
"09-Apr-2020","    12810.80","    12867.35","    12648.80","    12728.55","       36108851","         2531.49"
