"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       20.76","        5.14","        2.01"
"02-Jan-2020","       20.74","        5.14","        2.01"
"03-Jan-2020","       21.04","        5.21","        1.99"
"06-Jan-2020","       20.97","        5.19","        1.99"
"07-Jan-2020","       20.99","        5.20","        1.99"
"08-Jan-2020","       21.06","        5.22","        1.98"
"09-Jan-2020","       21.03","        5.21","        1.99"
"10-Jan-2020","       21.07","        5.22","        1.98"
"13-Jan-2020","       21.42","        5.31","        1.95"
"14-Jan-2020","       21.36","        5.35","        1.93"
"15-Jan-2020","       21.34","        5.35","        1.94"
"16-Jan-2020","       21.46","        5.36","        1.93"
"17-Jan-2020","       21.43","        5.35","        1.93"
"20-Jan-2020","       21.08","        5.30","        1.95"
"21-Jan-2020","       21.02","        5.29","        1.96"
"22-Jan-2020","       21.23","        5.34","        1.94"
"23-Jan-2020","       21.41","        5.39","        1.92"
"24-Jan-2020","       21.41","        5.39","        1.92"
"27-Jan-2020","       21.31","        5.36","        1.93"
"28-Jan-2020","       21.36","        5.31","        1.95"
"29-Jan-2020","       21.42","        5.32","        1.94"
"30-Jan-2020","       21.10","        5.27","        1.96"
"31-Jan-2020","       20.86","        5.21","        1.98"
"01-Feb-2020","       21.04","        5.26","        1.96"
"03-Feb-2020","       20.75","        5.19","        1.99"
"04-Feb-2020","       21.26","        5.28","        1.96"
"05-Feb-2020","       21.39","        5.31","        1.94"
"06-Feb-2020","       21.29","        5.29","        1.95"
"07-Feb-2020","       21.41","        5.32","        1.94"
"10-Feb-2020","       21.36","        5.31","        1.95"
"11-Feb-2020","       21.39","        5.31","        1.94"
"12-Feb-2020","       21.45","        5.34","        1.93"
"13-Feb-2020","       21.63","        5.39","        1.92"
"14-Feb-2020","       21.59","        5.38","        1.92"
"17-Feb-2020","       21.59","        5.38","        1.92"
"18-Feb-2020","       21.72","        5.41","        1.91"
"19-Feb-2020","       21.75","        5.42","        1.91"
"20-Feb-2020","       21.60","        5.38","        1.92"
"24-Feb-2020","       21.35","        5.32","        1.94"
"25-Feb-2020","       21.48","        5.35","        1.93"
"26-Feb-2020","       21.18","        5.28","        1.96"
"27-Feb-2020","       20.91","        5.21","        1.98"
"28-Feb-2020","       19.73","        4.91","        2.10"
"02-Mar-2020","       20.01","        4.98","        2.07"
"03-Mar-2020","       20.39","        5.08","        2.03"
"04-Mar-2020","       20.58","        5.12","        2.02"
"05-Mar-2020","       20.59","        5.13","        2.01"
"06-Mar-2020","       20.32","        5.06","        2.04"
"09-Mar-2020","       19.27","        4.80","        2.15"
"11-Mar-2020","       19.04","        4.74","        2.18"
"12-Mar-2020","       17.36","        4.32","        2.39"
"13-Mar-2020","       17.56","        4.37","        2.36"
"16-Mar-2020","       16.15","        4.02","        2.57"
"17-Mar-2020","       15.69","        3.91","        2.64"
"18-Mar-2020","       15.24","        3.80","        2.72"
"19-Mar-2020","       14.71","        3.66","        2.78"
"20-Mar-2020","       16.04","        3.99","        2.55"
"23-Mar-2020","       14.51","        3.61","        2.82"
"24-Mar-2020","       15.40","        3.83","        2.66"
"25-Mar-2020","       15.87","        3.95","        2.58"
"26-Mar-2020","       16.27","        4.05","        2.52"
"27-Mar-2020","       16.31","        4.06","        2.51"
"30-Mar-2020","       15.98","        3.98","        2.56"
"31-Mar-2020","       16.56","        4.12","        2.47"
"01-Apr-2020","       15.63","        3.89","        2.62"
"03-Apr-2020","       15.16","        3.77","        2.70"
"07-Apr-2020","       16.33","        4.07","        2.51"
"08-Apr-2020","       16.21","        4.03","        2.53"
"09-Apr-2020","       16.52","        4.11","        2.48"
"13-Apr-2020","       16.35","        4.07","        2.50"
"15-Apr-2020","       16.48","        4.10","        2.49"
"16-Apr-2020","       16.02","        4.03","        2.53"
"17-Apr-2020","       16.22","        4.09","        2.50"
"20-Apr-2020","       16.47","        4.15","        2.46"
"21-Apr-2020","       15.82","        4.01","        2.54"
