"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       67.30","        2.26","        1.14"
"02-Jan-2020","       67.54","        2.27","        1.14"
"03-Jan-2020","       66.03","        2.21","        1.17"
"06-Jan-2020","       64.41","        2.16","        1.20"
"07-Jan-2020","       65.08","        2.18","        1.18"
"08-Jan-2020","       64.76","        2.17","        1.19"
"09-Jan-2020","       66.31","        2.22","        1.16"
"10-Jan-2020","       66.42","        2.23","        1.16"
"13-Jan-2020","       66.95","        2.25","        1.15"
"14-Jan-2020","       68.35","        2.29","        1.13"
"15-Jan-2020","       68.90","        2.31","        1.12"
"16-Jan-2020","       78.05","        2.34","        1.10"
"17-Jan-2020","       78.33","        2.35","        1.10"
"20-Jan-2020","       76.88","        2.31","        1.12"
"21-Jan-2020","       78.59","        2.36","        1.09"
"22-Jan-2020","      101.39","        2.40","        1.08"
"23-Jan-2020","       99.42","        2.35","        1.10"
"24-Jan-2020","      100.89","        2.38","        1.09"
"27-Jan-2020","      100.50","        2.37","        1.09"
"28-Jan-2020","       99.35","        2.34","        1.10"
"29-Jan-2020","       99.73","        2.35","        1.10"
"30-Jan-2020","       98.50","        2.32","        1.11"
"31-Jan-2020","       97.98","        2.31","        1.12"
"01-Feb-2020","       93.74","        2.21","        1.17"
"03-Feb-2020","       91.47","        2.24","        1.15"
"04-Feb-2020","       91.62","        2.24","        1.15"
"05-Feb-2020","       90.72","        2.22","        1.16"
"06-Feb-2020","       92.14","        2.25","        1.15"
"07-Feb-2020","       93.94","        2.30","        1.12"
"10-Feb-2020","       92.88","        2.26","        1.14"
"11-Feb-2020","       94.39","        2.30","        1.12"
"12-Feb-2020","       94.22","        2.29","        1.13"
"13-Feb-2020","       98.52","        2.31","        1.12"
"14-Feb-2020","       98.39","        2.31","        1.12"
"17-Feb-2020","       95.74","        2.28","        1.13"
"18-Feb-2020","       97.52","        2.32","        1.11"
"19-Feb-2020","       99.43","        2.37","        1.09"
"20-Feb-2020","       98.88","        2.35","        1.10"
"24-Feb-2020","       96.66","        2.30","        1.12"
"25-Feb-2020","      344.81","        2.29","        1.13"
"26-Feb-2020","      342.27","        2.27","        1.14"
"27-Feb-2020","      334.04","        2.21","        1.17"
"28-Feb-2020","      317.00","        2.10","        1.23"
"02-Mar-2020","      302.58","        2.01","        1.29"
"03-Mar-2020","      312.63","        2.07","        1.25"
"04-Mar-2020","      306.94","        2.03","        1.27"
"05-Mar-2020","      304.78","        2.02","        1.28"
"06-Mar-2020","      289.76","        1.92","        1.34"
"09-Mar-2020","      270.49","        1.79","        1.44"
"11-Mar-2020","      275.94","        1.83","        1.41"
"12-Mar-2020","      247.45","        1.64","        1.57"
"13-Mar-2020","      243.31","        1.61","        1.60"
"16-Mar-2020","      232.63","        1.54","        1.67"
"17-Mar-2020","      218.80","        1.45","        1.78"
"18-Mar-2020","      216.49","        1.44","        1.80"
"19-Mar-2020","      154.49","        1.37","        1.89"
"20-Mar-2020","      160.47","        1.43","        1.82"
"23-Mar-2020","      144.33","        1.28","        2.02"
"24-Mar-2020","      146.65","        1.30","        1.99"
"25-Mar-2020","      150.02","        1.33","        1.94"
"26-Mar-2020","      151.73","        1.35","        1.92"
"27-Mar-2020","      150.01","        1.33","        1.94"
"30-Mar-2020","      145.25","        1.29","        2.01"
"31-Mar-2020","      147.82","        1.31","        1.97"
"01-Apr-2020","      142.31","        1.27","        2.05"
"03-Apr-2020","      140.32","        1.25","        2.08"
"07-Apr-2020","      148.60","        1.32","        1.96"
"08-Apr-2020","      151.27","        1.34","        1.93"
"09-Apr-2020","      157.13","        1.40","        1.86"
"13-Apr-2020","      151.88","        1.35","        1.92"
"15-Apr-2020","      153.31","        1.36","        1.90"
"16-Apr-2020","      157.34","        1.40","        1.85"
"17-Apr-2020","      162.66","        1.45","        1.79"
"20-Apr-2020","      161.75","        1.44","        1.80"
"21-Apr-2020","      153.40","        1.36","        1.90"
"22-Apr-2020","      163.60","        1.45","        1.78"
"23-Apr-2020","      165.42","        1.47","        1.76"
"24-Apr-2020","      155.49","        1.42","        1.83"
"27-Apr-2020","      156.51","        1.43","        1.82"
"28-Apr-2020","      157.31","        1.43","        1.81"
"29-Apr-2020","      161.62","        1.47","        1.76"
"30-Apr-2020","      160.76","        1.47","        1.77"
"04-May-2020","      153.66","        1.40","        1.85"
"05-May-2020","      152.09","        1.39","        1.87"
"06-May-2020","      152.13","        1.39","        1.87"
"07-May-2020","      152.18","        1.39","        1.87"
"08-May-2020","      153.18","        1.40","        1.86"
"11-May-2020","      157.32","        1.43","        1.81"
"12-May-2020","      160.00","        1.46","        1.78"
"13-May-2020","      162.33","        1.48","        1.75"
"14-May-2020","      160.57","        1.46","        1.77"
"15-May-2020","      157.65","        1.44","        1.80"
"18-May-2020","      146.98","        1.34","        1.94"
"19-May-2020","      155.13","        1.37","        1.90"
"20-May-2020","      158.87","        1.40","        1.85"
"21-May-2020","      161.67","        1.42","        1.82"
"22-May-2020","      163.53","        1.44","        1.80"
"26-May-2020","      163.17","        1.44","        1.80"
"27-May-2020","      163.11","        1.44","        1.81"
"28-May-2020","      169.02","        1.49","        1.74"
"29-May-2020","      168.94","        1.49","        1.74"
"01-Jun-2020","      198.72","        1.54","        1.68"
"02-Jun-2020","      205.25","        1.59","        1.63"
"03-Jun-2020","      206.53","        1.60","        1.62"
"04-Jun-2020","      215.04","        1.67","        1.56"
"05-Jun-2020","      226.36","        1.76","        1.48"
"08-Jun-2020","      222.59","        1.73","        1.50"
"09-Jun-2020","-","        1.67","        1.55"
"10-Jun-2020","-","        1.66","        1.56"
"11-Jun-2020","-","        1.64","        1.58"
"12-Jun-2020","-","        1.63","        1.59"
"15-Jun-2020","-","        1.64","        1.58"
"16-Jun-2020","-","        1.66","        1.56"
"17-Jun-2020","-","        1.69","        1.53"
"18-Jun-2020","-","        1.72","        1.51"
"19-Jun-2020","-","        1.75","        1.48"
"22-Jun-2020","-","        1.79","        1.45"
"23-Jun-2020","-","        1.83","        1.42"
"24-Jun-2020","-","        1.78","        1.46"
"25-Jun-2020","-","        1.77","        1.47"
"26-Jun-2020","       72.75","        1.76","        1.65"
"29-Jun-2020","       70.94","        1.72","        1.69"
"30-Jun-2020","       71.59","        1.69","        1.72"
"01-Jul-2020","       72.88","        1.72","        1.69"
"02-Jul-2020","       73.18","        1.72","        1.69"
"03-Jul-2020","       73.03","        1.72","        1.69"
"06-Jul-2020","       73.36","        1.73","        1.68"
"07-Jul-2020","       74.07","        1.75","        1.67"
"08-Jul-2020","       72.91","        1.72","        1.69"
"09-Jul-2020","       73.91","        1.74","        1.67"
"10-Jul-2020","       73.55","        1.73","        1.68"
"13-Jul-2020","       74.01","        1.74","        1.67"
"14-Jul-2020","       73.48","        1.73","        1.68"
"15-Jul-2020","       72.24","        1.70","        1.71"
"16-Jul-2020","       71.05","        1.67","        1.74"
"17-Jul-2020","       71.87","        1.69","        1.72"
"20-Jul-2020","       72.26","        1.70","        1.71"
"21-Jul-2020","       72.61","        1.72","        1.69"
"22-Jul-2020","       72.98","        1.73","        1.68"
"23-Jul-2020","       73.20","        1.74","        1.67"
"24-Jul-2020","       74.44","        1.71","        1.70"
"27-Jul-2020","       62.47","        1.69","        1.72"
"28-Jul-2020","      196.48","        1.68","        1.73"
"29-Jul-2020","      196.07","        1.68","        1.73"
"30-Jul-2020","      191.61","        1.64","        1.77"
"31-Jul-2020","      189.95","        1.63","        1.79"
"03-Aug-2020","      188.01","        1.61","        1.80"
"04-Aug-2020","      311.70","        1.67","        1.74"
