"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     8060.30","     8076.65","     8018.95","     8047.10","        8898088","          613.47"
"02-Jan-2020","     8056.75","     8102.40","     8027.15","     8053.95","       12949471","          748.23"
"03-Jan-2020","     8053.00","     8189.80","     8026.30","     8111.95","       26218452","         1306.48"
"06-Jan-2020","     8076.85","     8085.50","     7943.15","     7987.35","       17516389","          957.16"
"07-Jan-2020","     8014.10","     8087.65","     7973.95","     8036.50","       27939913","         1266.69"
"08-Jan-2020","     7975.70","     8041.60","     7960.05","     7996.15","       12772164","          690.56"
"09-Jan-2020","     8057.80","     8090.95","     8015.15","     8033.15","       13984986","          797.77"
"10-Jan-2020","     8048.55","     8171.20","     8044.35","     8058.50","       15905005","         1186.75"
"13-Jan-2020","     8082.30","     8141.30","     8042.65","     8078.45","       15316440","         1012.30"
"14-Jan-2020","     8104.15","     8136.40","     8081.30","     8117.00","       17191560","         1056.99"
"15-Jan-2020","     8135.75","     8178.85","     8080.35","     8166.20","       19694123","         1402.89"
"16-Jan-2020","     8188.05","     8223.85","     8175.35","     8203.10","       20295556","         1150.02"
"17-Jan-2020","     8208.30","     8371.60","     8200.00","     8345.30","       25015786","         1744.77"
"20-Jan-2020","     8353.70","     8375.20","     8251.00","     8269.35","       18242184","         1271.08"
"21-Jan-2020","     8249.15","     8313.45","     8214.55","     8274.20","       15648289","         1085.14"
"22-Jan-2020","     8295.00","     8372.30","     8245.45","     8256.65","       25047666","         1399.19"
"23-Jan-2020","     8245.95","     8322.45","     8208.55","     8300.20","       19859338","         1331.44"
"24-Jan-2020","     8291.75","     8349.25","     8273.95","     8294.05","       22172519","         1183.73"
"27-Jan-2020","     8270.05","     8471.80","     8240.10","     8416.35","       31445075","         2690.34"
"28-Jan-2020","     8427.80","     8513.15","     8395.65","     8420.25","       27888536","         2044.13"
"29-Jan-2020","     8446.20","     8492.45","     8361.25","     8412.80","       22104792","         1519.31"
"30-Jan-2020","     8426.25","     8438.20","     8207.60","     8237.05","       30302538","         1756.14"
"31-Jan-2020","     8256.20","     8299.35","     8122.95","     8138.60","       19900193","         1402.13"
"01-Feb-2020","     8129.30","     8209.85","     7975.90","     8013.75","       12340055","          896.89"
"03-Feb-2020","     8020.95","     8122.00","     7944.90","     7967.55","       21276658","         1409.36"
"04-Feb-2020","     8002.65","     8166.80","     7967.80","     8122.40","       35927209","         2352.14"
"05-Feb-2020","     8151.20","     8185.00","     8091.60","     8125.60","       25123590","         1620.91"
"06-Feb-2020","     8194.00","     8281.25","     8176.60","     8227.90","       43116500","         2952.78"
"07-Feb-2020","     8243.05","     8363.30","     8180.05","     8341.85","       53298851","         3377.00"
"10-Feb-2020","     8340.15","     8371.20","     8235.00","     8261.25","       26094576","         1528.16"
"11-Feb-2020","     8303.30","     8359.50","     8280.95","     8324.65","       23370221","         1610.15"
"12-Feb-2020","     8341.70","     8375.00","     8238.95","     8265.05","       22810042","         1711.98"
"13-Feb-2020","     8292.00","     8351.55","     8246.95","     8335.70","       20839474","         1714.22"
"14-Feb-2020","     8349.90","     8384.10","     8294.20","     8331.70","       18664002","         1273.39"
"17-Feb-2020","     8342.60","     8377.35","     8193.60","     8204.85","       28572499","         1482.27"
"18-Feb-2020","     8190.85","     8213.00","     8068.20","     8198.30","       22600610","         1385.57"
