"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       25.82","        3.16","        0.65"
"02-Jan-2020","       25.84","        3.17","        0.65"
"03-Jan-2020","       26.03","        3.19","        0.64"
"06-Jan-2020","       25.63","        3.14","        0.65"
"07-Jan-2020","       25.78","        3.16","        0.65"
"08-Jan-2020","       25.65","        3.14","        0.65"
"09-Jan-2020","       25.77","        3.16","        0.65"
"10-Jan-2020","       25.85","        3.17","        0.65"
"13-Jan-2020","       25.92","        3.18","        0.64"
"14-Jan-2020","       26.04","        3.19","        0.64"
"15-Jan-2020","       26.20","        3.21","        0.64"
"16-Jan-2020","       26.32","        3.23","        0.63"
"17-Jan-2020","       26.77","        3.28","        0.62"
"20-Jan-2020","       26.53","        3.25","        0.63"
"21-Jan-2020","       26.55","        3.25","        0.63"
"22-Jan-2020","       26.49","        3.21","        0.63"
"23-Jan-2020","       26.63","        3.23","        0.63"
"24-Jan-2020","       26.55","        3.22","        0.63"
"27-Jan-2020","       26.94","        3.27","        0.62"
"28-Jan-2020","       26.65","        3.22","        0.64"
"29-Jan-2020","       26.63","        3.22","        0.64"
"30-Jan-2020","       26.07","        3.15","        0.66"
"31-Jan-2020","       25.76","        3.11","        0.66"
"01-Feb-2020","       25.37","        3.06","        0.67"
"03-Feb-2020","       25.22","        3.05","        0.68"
"04-Feb-2020","       25.71","        3.11","        0.67"
"05-Feb-2020","       25.54","        3.11","        0.67"
"06-Feb-2020","       25.89","        3.15","        0.66"
"07-Feb-2020","       26.06","        3.19","        0.65"
"10-Feb-2020","       25.81","        3.16","        0.65"
"11-Feb-2020","       26.01","        3.18","        0.65"
"12-Feb-2020","       25.82","        3.16","        0.65"
"13-Feb-2020","       26.04","        3.19","        0.65"
"14-Feb-2020","       26.03","        3.19","        0.65"
"17-Feb-2020","       25.34","        3.14","        0.66"
"18-Feb-2020","       25.32","        3.13","        0.66"
"19-Feb-2020","       25.88","        3.20","        0.65"
"20-Feb-2020","       25.83","        3.20","        0.65"
"24-Feb-2020","       25.06","        3.10","        0.67"
"25-Feb-2020","       24.52","        3.04","        0.68"
"26-Feb-2020","       24.21","        3.00","        0.69"
"27-Feb-2020","       24.35","        3.02","        0.69"
"28-Feb-2020","       23.40","        2.90","        0.71"
"02-Mar-2020","       23.27","        2.88","        0.72"
"03-Mar-2020","       24.46","        3.03","        0.68"
"04-Mar-2020","       24.97","        3.09","        0.67"
"05-Mar-2020","       25.16","        3.11","        0.66"
"06-Mar-2020","       24.76","        3.07","        0.67"
"09-Mar-2020","       23.95","        2.97","        0.70"
"11-Mar-2020","       23.54","        2.91","        0.71"
"12-Mar-2020","       21.44","        2.65","        0.78"
"13-Mar-2020","       22.45","        2.78","        0.74"
"16-Mar-2020","       21.49","        2.66","        0.78"
"17-Mar-2020","       21.55","        2.67","        0.77"
"18-Mar-2020","       20.71","        2.56","        0.81"
"19-Mar-2020","       20.55","        2.55","        0.81"
"20-Mar-2020","       21.47","        2.66","        0.78"
"23-Mar-2020","       19.87","        2.46","        0.84"
"24-Mar-2020","       20.42","        2.53","        0.82"
"25-Mar-2020","       20.68","        2.56","        0.81"
"26-Mar-2020","       20.92","        2.59","        0.80"
"27-Mar-2020","       21.04","        2.61","        0.79"
"30-Mar-2020","       21.30","        2.64","        0.78"
"31-Mar-2020","       22.16","        2.74","        0.75"
"01-Apr-2020","       21.70","        2.69","        0.77"
"03-Apr-2020","       22.74","        2.82","        0.73"
"07-Apr-2020","       25.09","        3.11","        0.67"
"08-Apr-2020","       25.98","        3.22","        0.64"
"09-Apr-2020","       27.18","        3.37","        0.61"
"13-Apr-2020","       27.93","        3.46","        0.60"
"15-Apr-2020","       27.92","        3.46","        0.60"
"16-Apr-2020","       28.41","        3.52","        0.59"
"17-Apr-2020","       28.28","        3.50","        0.59"
"20-Apr-2020","       28.26","        3.50","        0.59"
"21-Apr-2020","       28.97","        3.59","        0.58"
"22-Apr-2020","       28.96","        3.59","        0.58"
"23-Apr-2020","       29.00","        3.59","        0.58"
"24-Apr-2020","       29.40","        3.64","        0.57"
"27-Apr-2020","       29.65","        3.67","        0.56"
"28-Apr-2020","       28.99","        3.59","        0.58"
"29-Apr-2020","       28.99","        3.59","        0.58"
"30-Apr-2020","       28.81","        3.57","        0.58"
"04-May-2020","       28.92","        3.58","        0.58"
"05-May-2020","       28.36","        3.51","        0.59"
"06-May-2020","       28.50","        3.53","        0.59"
"07-May-2020","       28.25","        3.50","        0.59"
"08-May-2020","       28.86","        3.57","        0.58"
"11-May-2020","       28.74","        3.56","        0.58"
"12-May-2020","       29.36","        3.54","        0.58"
"13-May-2020","       29.04","        3.50","        0.59"
"14-May-2020","       29.12","        3.51","        0.59"
"15-May-2020","       28.87","        3.48","        0.59"
"18-May-2020","       28.91","        3.48","        0.59"
"19-May-2020","       28.88","        3.47","        0.59"
"20-May-2020","       30.06","        3.62","        0.57"
"21-May-2020","       29.46","        3.64","        0.57"
"22-May-2020","       29.70","        3.67","        0.56"
"26-May-2020","       29.34","        3.63","        0.57"
"27-May-2020","       29.28","        3.62","        0.57"
"28-May-2020","       29.14","        3.62","        0.57"
"29-May-2020","       30.08","        3.74","        0.55"
