"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       30.73","        2.85","        0.44"
"02-Jan-2020","       31.06","        2.88","        0.44"
"03-Jan-2020","       30.92","        2.87","        0.44"
"06-Jan-2020","       30.17","        2.80","        0.45"
"07-Jan-2020","       30.75","        2.86","        0.44"
"08-Jan-2020","       30.65","        2.85","        0.44"
"09-Jan-2020","       31.48","        2.92","        0.43"
"10-Jan-2020","       32.05","        2.98","        0.42"
"13-Jan-2020","       32.72","        3.04","        0.42"
"14-Jan-2020","       32.68","        3.03","        0.42"
"15-Jan-2020","       33.11","        3.07","        0.41"
"16-Jan-2020","       33.41","        3.10","        0.41"
"17-Jan-2020","       33.44","        3.11","        0.41"
"20-Jan-2020","       33.61","        3.12","        0.40"
"21-Jan-2020","       33.13","        3.08","        0.41"
"22-Jan-2020","       33.10","        2.84","        0.31"
"23-Jan-2020","       33.80","        2.90","        0.30"
"24-Jan-2020","       33.91","        2.91","        0.30"
"27-Jan-2020","       33.58","        2.89","        0.30"
"28-Jan-2020","       33.60","        2.89","        0.30"
"29-Jan-2020","       33.76","        2.90","        0.30"
"30-Jan-2020","       33.62","        2.89","        0.30"
"31-Jan-2020","       34.02","        2.93","        0.30"
"01-Feb-2020","       31.34","        2.70","        0.32"
"03-Feb-2020","       31.86","        2.74","        0.32"
"04-Feb-2020","       32.69","        2.82","        0.31"
"05-Feb-2020","       33.00","        2.89","        0.30"
"06-Feb-2020","       32.62","        2.88","        0.30"
"07-Feb-2020","       30.14","        2.83","        0.31"
"10-Feb-2020","       29.72","        2.80","        0.31"
"11-Feb-2020","       29.71","        2.81","        0.31"
"12-Feb-2020","       29.46","        2.79","        0.31"
"13-Feb-2020","       29.32","        2.77","        0.31"
"14-Feb-2020","       29.02","        2.74","        0.32"
"17-Feb-2020","       28.59","        2.70","        0.32"
"18-Feb-2020","       28.32","        2.68","        0.32"
"19-Feb-2020","       28.63","        2.71","        0.32"
"20-Feb-2020","       28.81","        2.73","        0.32"
"24-Feb-2020","       28.20","        2.67","        0.32"
"25-Feb-2020","       28.62","        2.69","        0.32"
"26-Feb-2020","       28.15","        2.65","        0.33"
"27-Feb-2020","       27.46","        2.58","        0.34"
"28-Feb-2020","       26.54","        2.50","        0.35"
"02-Mar-2020","       26.46","        2.49","        0.35"
"03-Mar-2020","       26.89","        2.53","        0.34"
"04-Mar-2020","       26.59","        2.50","        0.35"
"05-Mar-2020","       26.29","        2.47","        0.35"
"06-Mar-2020","       25.52","        2.40","        0.36"
"09-Mar-2020","       24.60","        2.31","        0.37"
"11-Mar-2020","       24.15","        2.27","        0.38"
"12-Mar-2020","       21.79","        2.05","        0.42"
"13-Mar-2020","       22.31","        2.10","        0.41"
"16-Mar-2020","       20.45","        1.92","        0.45"
"17-Mar-2020","       19.96","        1.88","        0.46"
"18-Mar-2020","       18.71","        1.76","        0.49"
"19-Mar-2020","       18.09","        1.70","        0.51"
"20-Mar-2020","       18.58","        1.75","        0.50"
"23-Mar-2020","       16.47","        1.55","        0.56"
"24-Mar-2020","       16.14","        1.52","        0.57"
"25-Mar-2020","       16.57","        1.56","        0.56"
"26-Mar-2020","       17.58","        1.65","        0.52"
"27-Mar-2020","       17.51","        1.65","        0.53"
"30-Mar-2020","       16.24","        1.53","        0.57"
"31-Mar-2020","       16.60","        1.56","        0.56"
"01-Apr-2020","       16.28","        1.53","        0.57"
"03-Apr-2020","       16.28","        1.53","        0.57"
"07-Apr-2020","       17.31","        1.63","        0.53"
"08-Apr-2020","       17.08","        1.61","        0.54"
"09-Apr-2020","       17.58","        1.65","        0.52"
